Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,23.4
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,23.0
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,24.1
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,25.9
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,25.2
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,26.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,24.4
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,2.6
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.0
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.7
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.8
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.6
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.8
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.2
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,1.8
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,2.3
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,2.3
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,2.5
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,3.6
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,3.3
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,3.2
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.2
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.1
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.3
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.3
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.2
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.1
