DATE,UBIT,DURATION,ACTIVITY & TOOL DESCRIPTION
02/08/2021,prasoonn,40 minutes, read the PRE file to understand the homework
02/09/2021,prasoonn,60 minutes, edited csv.c repl.it editor to add -f functionality
02/13/2021,prasoonn,60 minutes, edited csv.c repl.it editor to add -h -min functionality
02/15/2021,prasoonn,60 minutes, edited csv.c repl.it editor to add -h -max functionality
02/17/2021,prasoonn,60 minutes, edited csv.c repl.it editor to add -h -mean functionality
02/19/2021,prasoonn,90 minutes, edited csv.c repl.it editor to test the functionality of our code
